X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.78385,40.32116,0,0,266,,,,,TP267,,,,,,,,,,,,,,,,,,
-3.78386,40.32116,0,0,267,,,,,TP268,,,,,,,,,,,,,,,,,,
-3.78387,40.32117,0,0,268,,,,,TP269,,,,,,,,,,,,,,,,,,
-3.78388,40.32117,0,0,269,,,,,TP270,,,,,,,,,,,,,,,,,,
-3.7839,40.32117,0,0,270,,,,,TP271,,,,,,,,,,,,,,,,,,
-3.78394,40.32111,0,0,271,,,,,TP272,,,,,,,,,,,,,,,,,,
-3.78407,40.32086,0,0,272,,,,,TP273,,,,,,,,,,,,,,,,,,
-3.78424,40.32056,0,0,273,,,,,TP274,,,,,,,,,,,,,,,,,,
-3.78433,40.32041,0,0,274,,,,,TP275,,,,,,,,,,,,,,,,,,
-3.7843321,40.3204089,0,0,275,,,,,TP276,,,,,,,,,,,,,,,,,,
-3.78456,40.3205,0,0,276,,,,,TP277,,,,,,,,,,,,,,,,,,
-3.7849,40.32061,0,0,277,,,,,TP278,,,,,,,,,,,,,,,,,,
-3.7849007,40.3206147,0,0,278,,,,,TP279,,,,,,,,,,,,,,,,,,
